Job Title,Date Posted,Location,Requisition ID,Expected Travel,Career Status,Employment Type,Requirements
Data Scientist Advisor Job,"Feb 17, 2019","Taipei, TPE, TW",201849,0 - 10%,Professional,Regular Full Time,"Prior experience with software/IT organizations and with a demonstrated proficiency of at least one solution/LoB segment (e.g. through Solution Management, Sales, Presales, Consulting or Business Development roles).  SAP product experience and/or year’s prior relevant solutions/lobe experience.  Working knowledge of cloud in the B2B environment.  Exposure to machine learning Data Modelling (R, Python, Tensorflow, Scikit–learn, MLlib etc) Experience in Hadoop tool sets (HIVE, Spark, Kafka, MapReduce etc) Applied domain know-how in solving business problems in Statistics, applied mathematics or operations research is preferable.   Capable of leveraging a professional network on behalf of SAP resulting in pipeline and revenue growth.  Proven track record of success in the selected industry area. Customer facing experience. Fluency in Mandarin & English, any other language an asset.  Fluency in the language of local markets desirable.
Prior experience with software/IT organizations and with a demonstrated proficiency of at least one solution/LoB segment (e.g. through Solution Management, Sales, Presales, Consulting or Business Development roles).  SAP product experience and/or year’s prior relevant solutions/lobe experience.  Working knowledge of cloud in the B2B environment.  Exposure to machine learning Data Modelling (R, Python, Tensorflow, Scikit–learn, MLlib etc) Experience in Hadoop tool sets (HIVE, Spark, Kafka, MapReduce etc) Applied domain know-how in solving business problems in Statistics, applied mathematics or operations research is preferable.   Capable of leveraging a professional network on behalf of SAP resulting in pipeline and revenue growth.  Proven track record of success in the selected industry area. Customer facing experience. Fluency in Mandarin & English, any other language an asset.  Fluency in the language of local markets desirable.
Bachelor’s degree (or equivalent) required, Math, Statistics, CS, Engineering or equivalent degree required from accredited university preferred"
Data Scientist Job,"Feb 16, 2019","San Francisco, CA, US",208785,0 - 10%,Professional,Regular Full Time,"Masters degree in data science, analytics, statistics, or similar
3-5 years of work experience in data analytics, software engineering, or similar
Intermediate-to-expert level experience developing Tableau workbooks
Complete fluency with SQL
Experience building ML models with Python
Strong communication and interpersonal skills
Curiosity, humility, and a desire to continue learning
Resourcefulness, especially in light of incomplete information
Experience working on travel or expense reimbursement products
Prior work experience within SAP or working with SAP products"
SAP Concur iXp Intern- Data Scientist Job,"Feb 28, 2019","Bellevue, WA, US",205720,0 - 10%,Student,Intern,"We’re looking for someone who can challenge the status quo and likes to stay curious. You enjoy working on meaningful projects and are energized by lifelong learning.
Candidates to currently be enrolled in an undergraduate or masters degree program which is applicable to the position
Passion for Data Science, Statistics, Computer Science, Math, or similar quantitative field
Strong data discovery and analysis skills
Experience with an ML package (Scikit learn, Keras, Tensorflow, SciPy, R, Matlab, Mahout or Torch)
Experience with a language (Python, Java, Scala, Pig, SQL) preferably on Linux"
Data Scientist - F/M Job,"Feb 16, 2019","Paris, 75, FR",198004,0 - 10%,Professional,Regular Full Time,"Strong knowledge in one more multiple of the following fields: statistics, mathematics, probability, computer science, econometrics
Experience in machine learning for business problems and NLP/NLU
Strong coding skills in python or R as well as SQL. Knowledge of Spark is a plus
Experience in working with and developing solutions on Kubernetes is a plus
Knowledge of SAP HANA and cloud native application development is beneficial
Curious, fast learner and entrepreneurial spirit
Excellent level of English and at least one more language spoken in the EU"
SAP Concur iXp intern- Customer Experience Transformation Data Scientist Job,"Mar 6, 2019","Bellevue, WA, US",203244,0 - 10%,Student,Intern,"We’re looking for someone who can challenge the status quo and likes to stay curious. You enjoy working on meaningful projects and are energized by lifelong learning.
Candidates currently enrolled in an undergraduate or master’s degree program which is applicable to the position (business, technical or equivalent proven experience)
Strong communication skills (verbal & written) that include the ability to effectively articulate challenges and potential solutions
Thrive in a fast-paced environment working with multiple teams across various geographies
Customer-service oriented; passionate about improving how customers experience our products and services
Comfortable meeting with SAP Concur employees at all levels (Management to Analyst) on a regular basis to obtain valuable feedback
Self-starter who is good at multi-tasking and managing projects; someone able to proactively reach out to teams and introduce themselves (network/build relationships)
Key traits: Trust-builder: responsible, accountable, helpful, problem solver, forward thinker, flexible, organized, quick learner, motivated"
SAP IBS iXp Intern - Data Scientist Job,"Mar 8, 2019","Palo Alto, CA, US",202289,0 - 10%,Student,Intern,"SAP’s Internship Experience Project is SAP’s global, paid internship program that provides university students with the opportunities to find purpose in their careers.
We’re looking for someone who can challenge the status quo and likes to stay curious. You enjoy working on meaningful projects and are energized by lifelong learning.
Enrolled in a degree program in Mathematics, Physics, Computer Science, Data Science, Machine Learning or an equivalent area.
Knowledge of ML methodology, algorithms such as regression, classification, tree-based methods, clustering etc.
Programming knowledge in Python or R.
Experience deploying prototypes as web application.
Knowledge in a specialized topic such as image processing, speech processing, deep learning etc a plus.
High energy, clear goal orientation and strong work ethic; “can do” attitude
Excellent verbal and written communication skills.
Create and deliver professional presentations"
Senior Data Scientist - SAP Business Network Job,"Mar 6, 2019","Bellevue, WA, US",210440,0 - 10%,Professional,Regular Full Time,"The SAP Business Network Team is looking for a hands-on senior data scientist to help us develop the next big thing in business software. Successful candidates will have skills in the following areas:
•    5+ years' experience working in Data Science OR Data Analytics environment.
•    Expertise in stochastic processes.
•    Expertise deploying data processing pipelines in AWS for production environments."
IBSO Data Scientist Job,"Feb 16, 2019","Shanghai, 31, CN",205634,0 - 10%,Professional,Regular Full Time,"BS/MS in Statistics, Mathematics, Computer Science, Engineering, or a related field. Business English: fluent
Over 3 years of data science or data analysis experience, capable of engaging the full phases of data science project
Strong Statistic and Mathematical Modeling background
Experience in data mining or machine learning techniques like data pre-processing, feature engineering, model selection, training and validation. 
Good enough knowledge in Python/Java/R to implement the data mining model or algorithm
Have solid knowledge of Database and SQL
Enterprise application knowledge is a big plus
Passion for co-innovation with customers
Good records in publications and/or patent filing is preferred
Positive mindset, team player, humble, transparent, open to changes and highly adaptable
Ability to pick up knowledge in new areas very quickly
Excellent verbal, written and presentation communication skill"
SAP Fieldglass iXp Intern- Data Scientist Job,"Feb 17, 2019","Chicago, IL, US",202151,0 - 10%,Student,Intern,"We’re looking for someone who can challenge the status quo and likes to stay curious. You enjoy working on meaningful projects and are energized by lifelong learning.
Candidates to currently be enrolled in a master’s degree program which is applicable to the position
Strong programming skills in SQL
Experience working with either Python or R
Strong communication skills that include the ability to effectively translate technical problems into business terms and vice versa
Thrive in a fast-paced environment working with multiple teams across various geographies
Preferred experience: experience with 3rd party APIs, worked with unstructured data, knowledge/experience in the non-employee workforce industry"
Working Student: Data Scientist (Data Engineering & Discovery) Job,"Mar 4, 2019","Walldorf/St. Leon-Rot, BW, DE",210651,0 - 10%,Student,Limited Part Time,"Student (f/m) at a university or university of applied sciences
Preferred field(s) of study:  Data Science, Computer Science, Information Technology, Information Systems
Software Development (e.g. Python, R)
Good understanding of modern cloud technologies (Kubernetes, AWS, Azure, Docker, Jenkins)
Understanding for Continuous Deployment and Continuous Integration (CD/CI)
Understanding for cloud infrastructures
Understanding for data flow processes
Basic understanding of SQL and data base management
Ability to adopt new technology quickly
Language skills: English, German"
